               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11437,            0.052016,            0.078336,             0.01145,            0.069767,           0.0063035,           0.0032929,             0.11036,            0.030131,            0.087514,                   0,                   0,                 0.1
                   1,             0.11266,            0.052956,            0.077778,            0.016104,            0.069767,           0.0064856,           0.0016469,             0.10944,            0.030153,            0.088403,           9.967e-05,           9.967e-05,              0.0991
                   2,             0.11071,             0.05142,            0.079898,            0.015449,            0.069767,           0.0062124,           0.0015767,             0.10762,            0.030512,            0.087426,          0.00019868,          0.00019868,            0.098199
                   3,             0.11179,            0.058044,            0.077952,            0.014205,            0.069767,           0.0077982,           0.0018894,             0.10532,            0.031003,            0.086107,          0.00029703,          0.00029703,            0.097297
                   4,             0.11194,            0.061072,            0.076841,            0.019088,            0.093023,            0.010204,           0.0021107,             0.10314,            0.031397,            0.084766,          0.00039472,          0.00039472,            0.096395
                   5,             0.11204,            0.055933,            0.075298,            0.022846,             0.11628,            0.011857,           0.0021625,             0.10069,            0.031796,            0.082988,          0.00049175,          0.00049175,            0.095492
                   6,             0.10545,            0.054427,            0.075845,            0.028871,             0.11628,             0.01567,            0.002758,            0.098368,            0.032273,            0.080796,          0.00058812,          0.00058812,            0.094588
                   7,             0.10586,            0.052452,            0.073772,            0.029325,             0.11628,            0.014037,           0.0026884,            0.096346,            0.033437,            0.078424,          0.00068383,          0.00068383,            0.093684
                   8,             0.10585,            0.067033,            0.071879,            0.038583,            0.068151,            0.013506,           0.0032759,            0.094399,            0.034366,            0.076267,          0.00077888,          0.00077888,            0.092779
                   9,              0.1035,            0.052207,            0.070508,            0.068215,            0.046512,            0.014071,            0.002294,            0.092633,            0.034932,            0.074043,          0.00087327,          0.00087327,            0.091873
                  10,            0.096558,            0.061358,            0.070981,             0.16558,            0.046512,            0.032852,           0.0046425,            0.090648,             0.03571,            0.071384,            0.000967,            0.000967,            0.090967
                  11,            0.096167,            0.055731,            0.068421,            0.049907,             0.11628,             0.02467,           0.0043661,            0.088796,             0.03648,            0.068218,           0.0010601,           0.0010601,             0.09006
                  12,            0.096824,            0.061833,            0.065446,            0.050409,             0.16279,            0.039438,           0.0075066,            0.086887,             0.03687,            0.065224,           0.0011525,           0.0011525,            0.089152
                  13,            0.098139,            0.048829,            0.062952,            0.059498,             0.27907,            0.059619,           0.0095083,             0.08526,            0.036731,             0.06306,           0.0012442,           0.0012442,            0.088244
                  14,             0.09608,            0.059654,            0.061862,             0.11624,              0.2093,             0.10074,            0.018727,            0.084442,            0.035621,            0.061014,           0.0013353,           0.0013353,            0.087335
                  15,             0.08688,            0.070058,            0.058993,             0.26434,             0.13953,             0.13364,            0.022593,            0.082999,            0.035167,             0.05757,           0.0014257,           0.0014257,            0.086426
                  16,            0.091685,            0.062148,             0.05614,             0.15935,             0.37209,             0.16992,            0.038633,            0.081164,            0.034859,            0.053431,           0.0015155,           0.0015155,            0.085516
                  17,            0.088525,            0.056381,            0.052016,             0.15935,             0.37209,             0.16992,            0.038633,            0.081164,            0.034859,            0.053431,           0.0016046,           0.0016046,            0.084605
                  18,            0.088556,            0.056876,            0.052607,             0.35771,              0.2093,             0.22044,            0.040353,            0.079634,            0.034346,            0.049248,           0.0016931,           0.0016931,            0.083693
                  19,            0.087282,            0.061428,            0.049626,             0.35771,              0.2093,             0.22044,            0.040353,            0.079634,            0.034346,            0.049248,           0.0017809,           0.0017809,            0.082781
                  20,            0.088115,            0.066439,            0.049613,             0.35154,              0.3909,             0.25602,            0.050411,            0.077163,            0.033873,            0.043492,            0.001868,            0.001868,            0.081868
                  21,             0.08433,            0.055948,            0.047772,             0.35154,              0.3909,             0.25602,            0.050411,            0.077163,            0.033873,            0.043492,           0.0019545,           0.0019545,            0.080954
                  22,            0.083518,            0.061924,             0.04668,             0.32604,             0.34884,             0.27587,            0.055525,            0.075274,            0.033594,              0.0392,           0.0020403,           0.0020403,             0.08004
                  23,            0.080063,            0.055944,             0.04253,             0.32604,             0.34884,             0.27587,            0.055525,            0.075274,            0.033594,              0.0392,           0.0021254,           0.0021254,            0.079125
                  24,            0.082849,             0.05495,            0.044207,             0.38426,             0.34884,             0.28977,            0.072774,            0.072468,            0.034509,            0.035523,           0.0022099,           0.0022099,             0.07821
                  25,            0.083681,            0.052025,            0.041937,             0.38426,             0.34884,             0.28977,            0.072774,            0.072468,            0.034509,            0.035523,           0.0022938,           0.0022938,            0.077294
                  26,            0.079027,            0.075169,            0.039886,             0.36294,               0.371,             0.32023,             0.10061,            0.073308,            0.034257,            0.032337,           0.0023769,           0.0023769,            0.076377
                  27,            0.075581,            0.047317,            0.037621,             0.36294,               0.371,             0.32023,             0.10061,            0.073308,            0.034257,            0.032337,           0.0024594,           0.0024594,            0.075459
                  28,            0.079077,            0.050636,             0.03759,              0.3767,             0.39535,             0.33969,             0.11348,            0.069616,            0.034567,            0.028967,           0.0025413,           0.0025413,            0.074541
                  29,            0.078235,            0.055279,            0.035923,              0.3767,             0.39535,             0.33969,             0.11348,            0.069616,            0.034567,            0.028967,           0.0026225,           0.0026225,            0.073622
                  30,            0.072924,            0.050113,            0.032926,             0.39507,             0.39535,             0.33377,              0.1143,            0.070067,            0.034485,            0.025846,            0.002703,            0.002703,            0.072703
                  31,            0.071737,             0.04516,            0.031276,             0.39507,             0.39535,             0.33377,              0.1143,            0.070067,            0.034485,            0.025846,           0.0027829,           0.0027829,            0.071783
                  32,            0.075172,            0.050243,            0.032008,              0.3942,             0.39349,             0.32705,             0.10972,             0.06669,            0.036271,            0.023063,           0.0028621,           0.0028621,            0.070862
                  33,            0.069305,            0.047272,            0.026894,              0.3942,             0.39349,             0.32705,             0.10972,             0.06669,            0.036271,            0.023063,           0.0029406,           0.0029406,            0.069941
                  34,            0.075167,            0.057156,            0.028668,             0.36775,             0.30233,             0.28784,            0.098048,            0.078496,            0.039764,            0.020552,           0.0030185,           0.0030185,            0.069019
                  35,            0.071542,            0.049363,             0.02595,             0.36775,             0.30233,             0.28784,            0.098048,            0.078496,            0.039764,            0.020552,           0.0030958,           0.0030958,            0.068096
                  36,            0.076856,            0.047982,             0.02606,             0.27076,             0.38864,             0.26529,            0.078909,            0.066932,            0.043762,             0.01872,           0.0031723,           0.0031723,            0.067172
                  37,            0.073946,            0.055162,            0.022731,             0.27076,             0.38864,             0.26529,            0.078909,            0.066932,            0.043762,             0.01872,           0.0032482,           0.0032482,            0.066248
                  38,            0.072945,            0.049315,            0.023417,             0.14742,             0.44186,               0.173,            0.051545,            0.070327,            0.046692,            0.016954,           0.0033235,           0.0033235,            0.065323
                  39,            0.066406,            0.044875,            0.021034,             0.14742,             0.44186,               0.173,            0.051545,            0.070327,            0.046692,            0.016954,           0.0033981,           0.0033981,            0.064398
                  40,            0.067476,            0.052106,            0.020681,             0.41798,              0.4186,             0.38746,             0.11074,            0.067136,            0.049469,            0.015669,            0.003472,            0.003472,            0.063472
                  41,            0.076906,            0.055533,            0.020333,             0.41798,              0.4186,             0.38746,             0.11074,            0.067136,            0.049469,            0.015669,           0.0035453,           0.0035453,            0.062545
                  42,            0.074888,            0.042782,            0.020848,              0.1344,             0.69767,             0.12156,            0.021064,            0.073434,            0.046112,            0.014137,           0.0036179,           0.0036179,            0.061618
                  43,            0.068323,            0.049234,            0.016594,              0.1344,             0.69767,             0.12156,            0.021064,            0.073434,            0.046112,            0.014137,           0.0036898,           0.0036898,             0.06069
                  44,            0.068397,            0.040659,            0.016879,             0.62785,             0.44186,             0.46639,             0.20673,            0.074018,            0.044083,             0.01281,           0.0037611,           0.0037611,            0.059761
                  45,            0.072277,            0.045533,            0.014999,             0.62785,             0.44186,             0.46639,             0.20673,            0.074018,            0.044083,             0.01281,           0.0038317,           0.0038317,            0.058832
                  46,            0.068754,            0.050995,             0.01422,               0.554,             0.44186,             0.45061,              0.1951,            0.073739,            0.041199,            0.012654,           0.0039017,           0.0039017,            0.057902
                  47,            0.073662,            0.046375,            0.015021,               0.554,             0.44186,             0.45061,              0.1951,            0.073739,            0.041199,            0.012654,            0.003971,            0.003971,            0.056971
                  48,            0.072022,             0.03705,            0.018512,             0.57693,              0.5075,             0.48752,             0.11939,            0.065203,            0.035659,            0.011418,           0.0040397,           0.0040397,             0.05604
                  49,            0.068811,            0.040104,            0.013961,             0.57693,              0.5075,             0.48752,             0.11939,            0.065203,            0.035659,            0.011418,           0.0041077,           0.0041077,            0.055108
                  50,            0.069964,             0.04092,            0.015476,             0.67645,             0.48837,              0.4781,             0.14945,            0.075338,            0.035783,            0.010298,            0.004175,            0.004175,            0.054175
                  51,            0.072785,            0.047375,            0.014903,             0.67645,             0.48837,              0.4781,             0.14945,            0.075338,            0.035783,            0.010298,           0.0042417,           0.0042417,            0.053242
                  52,            0.067982,             0.04244,            0.013027,             0.67645,             0.48837,              0.4781,             0.14945,            0.075338,            0.035783,            0.010298,           0.0043077,           0.0043077,            0.052308
                  53,            0.070521,            0.038571,            0.014039,             0.80889,             0.51163,             0.63265,             0.20353,            0.065779,            0.032047,            0.009302,            0.004373,            0.004373,            0.051373
                  54,            0.072945,            0.052841,            0.013539,             0.80889,             0.51163,             0.63265,             0.20353,            0.065779,            0.032047,            0.009302,           0.0044377,           0.0044377,            0.050438
                  55,             0.07165,            0.042522,             0.01279,             0.80889,             0.51163,             0.63265,             0.20353,            0.065779,            0.032047,            0.009302,           0.0045017,           0.0045017,            0.049502
                  56,            0.067801,            0.042464,            0.011722,             0.15231,             0.67442,             0.16796,            0.043623,            0.076863,            0.031474,           0.0088477,           0.0045651,           0.0045651,            0.048565
                  57,            0.076789,            0.048289,            0.011802,             0.15231,             0.67442,             0.16796,            0.043623,            0.076863,            0.031474,           0.0088477,           0.0046278,           0.0046278,            0.047628
                  58,            0.073702,            0.038287,            0.011574,             0.15231,             0.67442,             0.16796,            0.043623,            0.076863,            0.031474,           0.0088477,           0.0046899,           0.0046899,             0.04669
                  59,            0.073576,            0.035116,            0.010423,             0.59627,             0.34363,             0.44267,              0.1346,            0.076826,            0.027975,           0.0080484,           0.0047513,           0.0047513,            0.045751
                  60,            0.073986,            0.039656,            0.010431,             0.59627,             0.34363,             0.44267,              0.1346,            0.076826,            0.027975,           0.0080484,            0.004812,            0.004812,            0.044812
                  61,            0.070095,            0.036373,            0.010851,             0.59627,             0.34363,             0.44267,              0.1346,            0.076826,            0.027975,           0.0080484,           0.0048721,           0.0048721,            0.043872
                  62,            0.072176,            0.034976,            0.010846,             0.64324,             0.53488,             0.63197,             0.24605,            0.061064,            0.026058,           0.0074359,           0.0049315,           0.0049315,            0.042931
                  63,            0.066128,            0.058649,            0.010185,             0.64324,             0.53488,             0.63197,             0.24605,            0.061064,            0.026058,           0.0074359,           0.0049902,           0.0049902,             0.04199
                  64,            0.066403,            0.049851,            0.010765,             0.64324,             0.53488,             0.63197,             0.24605,            0.061064,            0.026058,           0.0074359,           0.0050483,           0.0050483,            0.041048
                  65,            0.066708,            0.046371,             0.01061,             0.37287,             0.65116,              0.4367,            0.072455,            0.072891,            0.026232,           0.0069963,           0.0051057,           0.0051057,            0.040106
                  66,            0.073519,            0.045437,            0.010128,             0.37287,             0.65116,              0.4367,            0.072455,            0.072891,            0.026232,           0.0069963,           0.0051625,           0.0051625,            0.039163
                  67,            0.070473,            0.042953,            0.010675,             0.37287,             0.65116,              0.4367,            0.072455,            0.072891,            0.026232,           0.0069963,           0.0052186,           0.0052186,            0.038219
                  68,            0.071084,            0.034548,            0.010595,             0.41308,             0.50746,             0.37191,            0.076333,            0.064316,            0.024541,           0.0065605,           0.0052741,           0.0052741,            0.037274
                  69,            0.066164,            0.038142,            0.010529,             0.41308,             0.50746,             0.37191,            0.076333,            0.064316,            0.024541,           0.0065605,           0.0053289,           0.0053289,            0.036329
                  70,            0.072009,             0.04693,            0.011735,             0.41308,             0.50746,             0.37191,            0.076333,            0.064316,            0.024541,           0.0065605,            0.005383,            0.005383,            0.035383
                  71,            0.066846,            0.039484,           0.0081349,              0.5869,             0.53488,             0.56997,             0.23209,            0.072401,            0.022343,           0.0061359,           0.0054365,           0.0054365,            0.034436
                  72,             0.07128,            0.032372,               0.009,              0.5869,             0.53488,             0.56997,             0.23209,            0.072401,            0.022343,           0.0061359,           0.0054893,           0.0054893,            0.033489
                  73,            0.076745,            0.040841,           0.0088048,              0.5869,             0.53488,             0.56997,             0.23209,            0.072401,            0.022343,           0.0061359,           0.0055414,           0.0055414,            0.032541
                  74,            0.078506,            0.044148,            0.010121,             0.36785,             0.64958,             0.33293,            0.090299,            0.071754,            0.021856,           0.0058014,           0.0055929,           0.0055929,            0.031593
                  75,            0.066876,             0.03283,           0.0073477,             0.36785,             0.64958,             0.33293,            0.090299,            0.071754,            0.021856,           0.0058014,           0.0056438,           0.0056438,            0.030644
                  76,            0.070713,            0.041696,           0.0087814,             0.36785,             0.64958,             0.33293,            0.090299,            0.071754,            0.021856,           0.0058014,           0.0056939,           0.0056939,            0.029694
                  77,            0.070519,             0.03845,           0.0089972,             0.54357,              0.7201,             0.49248,              0.1075,            0.065562,            0.022535,           0.0056312,           0.0057434,           0.0057434,            0.028743
                  78,            0.070232,            0.044091,           0.0077534,             0.54357,              0.7201,             0.49248,              0.1075,            0.065562,            0.022535,           0.0056312,           0.0057923,           0.0057923,            0.027792
                  79,            0.072796,            0.037029,            0.010315,             0.54357,              0.7201,             0.49248,              0.1075,            0.065562,            0.022535,           0.0056312,           0.0058405,           0.0058405,             0.02684
                  80,            0.075663,            0.038115,           0.0081803,             0.54496,             0.69767,             0.52288,             0.15667,            0.067352,            0.021156,           0.0053787,            0.005888,            0.005888,            0.025888
                  81,            0.067843,            0.041002,           0.0072243,             0.54496,             0.69767,             0.52288,             0.15667,            0.067352,            0.021156,           0.0053787,           0.0059349,           0.0059349,            0.024935
                  82,            0.072811,            0.038172,           0.0089717,             0.54496,             0.69767,             0.52288,             0.15667,            0.067352,            0.021156,           0.0053787,           0.0059811,           0.0059811,            0.023981
                  83,            0.066684,            0.039379,           0.0081013,              0.4758,             0.69661,             0.46279,             0.14164,            0.064487,              0.0219,           0.0051653,           0.0060266,           0.0060266,            0.023027
                  84,            0.066046,            0.042167,            0.007595,              0.4758,             0.69661,             0.46279,             0.14164,            0.064487,              0.0219,           0.0051653,           0.0060715,           0.0060715,            0.022072
                  85,            0.066747,            0.033593,           0.0068267,              0.4758,             0.69661,             0.46279,             0.14164,            0.064487,              0.0219,           0.0051653,           0.0061157,           0.0061157,            0.021116
                  86,            0.065135,            0.032018,           0.0074582,              0.4758,             0.69661,             0.46279,             0.14164,            0.064487,              0.0219,           0.0051653,           0.0061593,           0.0061593,            0.020159
                  87,             0.06466,            0.035884,           0.0074234,             0.59745,             0.62791,             0.63505,             0.17291,            0.070835,            0.020638,           0.0048937,           0.0062022,           0.0062022,            0.019202
                  88,            0.074772,            0.051665,           0.0089518,             0.59745,             0.62791,             0.63505,             0.17291,            0.070835,            0.020638,           0.0048937,           0.0062445,           0.0062445,            0.018244
